# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = peng_model
# start_datetime = 2025-05-15 10:16:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 5000
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/admin/AppData/Local/Temp/Rtmp2PZJw8/standata-69c58b2fbe.json
# init = 2 (Default)
# random
#   seed = 619260806
# output
#   file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/sampling-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = D:/_GIT.REPOS_/bayesutils/demo/sampling.monitor.dir/sampling.csv/peng-profile-2.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --name=peng_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B.1.1,B.2.1,B.3.1,B.1.2,B.2.2,B.3.2,a,sigma
690.768,0.998896,0.0188199,5,31,0,-686.295,0.812255,0.76437,1.07038,0.980337,0.855593,1.21237,0.101939,0.0732622
689.728,0.999073,0.0193797,5,31,0,-686.745,0.849135,0.781416,1.07752,0.986684,0.857414,1.16956,0.102207,0.0736371
689.57,0.981783,0.0199718,6,95,0,-685.498,0.815622,0.785844,1.07919,0.981585,0.83653,1.21697,0.103261,0.0793161
690.799,0.970591,0.0195663,8,511,0,-682.735,0.963094,0.949592,1.22954,1.11848,1.0251,1.39168,0.0667732,0.080328
691.674,0.996159,0.0185704,5,31,0,-688.37,0.959032,0.956065,1.23651,1.11481,1.02502,1.38109,0.0655794,0.0800818
692.186,0.998286,0.0189965,5,63,0,-689.016,0.953298,0.94957,1.22568,1.12761,1.03757,1.35537,0.067594,0.0788913
693.551,0.982952,0.0195487,7,159,0,-688.195,0.97168,0.951231,1.25969,1.13088,1.03062,1.39381,0.0631159,0.0750996
693.643,0.999874,0.0192564,6,95,0,-691.593,0.984125,0.959488,1.2453,1.13185,1.04133,1.37544,0.0649029,0.0764323
690.72,0.948074,0.0198997,4,15,0,-689.281,0.982057,0.950043,1.25279,1.12841,1.03499,1.38486,0.0666027,0.0758594
692.325,0.998033,0.0177938,8,407,0,-685.949,0.833652,0.77569,1.0656,0.976397,0.855523,1.18819,0.100578,0.074721
694.585,0.999439,0.0182999,6,79,0,-689.807,0.827908,0.784929,1.07546,0.982231,0.848357,1.19354,0.101902,0.0689512
694.091,0.985359,0.0188848,6,127,0,-686.553,0.840528,0.781796,1.06877,0.989208,0.843157,1.20607,0.101983,0.0769035
690.245,0.997288,0.0187474,5,31,0,-687.217,0.846927,0.768741,1.05877,0.997412,0.855371,1.19516,0.102069,0.0774753
694.258,0.999642,0.0192207,5,31,0,-687.547,0.838845,0.781453,1.1005,0.986304,0.849652,1.20887,0.0998498,0.0772317
694.976,0.993624,0.0198214,6,127,0,-692.468,0.838872,0.786594,1.08599,0.988859,0.840924,1.20999,0.101175,0.0759553
694.33,0.999667,0.0201064,6,127,0,-692.52,0.855407,0.80961,1.11178,1.01216,0.864398,1.23291,0.094427,0.0706325
694.695,0.992844,0.0207159,7,191,0,-691.529,0.838054,0.78773,1.08117,0.994544,0.841678,1.20937,0.101036,0.0715415
693.099,0.99907,0.0209559,6,127,0,-690.429,0.820017,0.796062,1.07879,0.989993,0.849515,1.19271,0.102525,0.0782663
693.715,0.999477,0.0215374,6,63,0,-691.449,0.82767,0.792655,1.06963,0.986492,0.860489,1.20912,0.101528,0.0775477
